0,15,11,18,18,5,3,16,16,6,6,10,8,11,14,17,7,15,17,10,11,11,22,3,10
15,0,14,17,17,10,1,11,2,6,6,23,23,19,10,14,11,2,20,18,8,24,16,9,17
11,14,0,19,11,10,11,16,9,4,22,2,14,13,5,25,6,3,1,8,22,15,12,19,19
18,17,19,0,21,15,21,16,10,8,5,11,1,9,10,2,21,13,7,8,15,1,6,2,2
18,17,11,21,0,4,2,8,23,25,7,11,21,12,8,17,22,13,11,8,8,24,8,3,3
5,10,10,15,4,0,1,15,3,2,6,2,9,2,18,23,9,25,16,24,2,21,14,3,24
3,1,11,21,2,1,0,2,21,2,17,13,15,22,2,5,6,5,23,23,17,6,2,9,6
16,11,16,16,8,15,2,0,3,4,17,13,9,18,16,11,11,15,16,23,12,16,5,9,10
16,2,9,10,23,3,21,3,0,10,7,8,11,1,1,2,7,24,10,6,24,16,8,6,16
6,6,4,8,25,2,2,4,10,0,8,11,4,4,8,19,23,25,24,19,12,4,22,25,15
6,6,22,5,7,6,17,17,7,8,0,24,4,11,4,13,22,15,11,12,16,5,11,5,7
10,23,2,11,11,2,13,13,8,11,24,0,22,17,7,13,25,9,5,24,8,10,18,16,23
8,23,14,1,21,9,15,9,11,4,4,22,0,10,7,5,7,6,4,18,3,18,18,23,4
11,19,13,9,12,2,22,18,1,4,11,17,10,0,24,3,2,21,8,22,18,5,7,15,12
14,10,5,10,8,18,2,16,1,8,4,7,7,24,0,9,18,8,25,1,9,23,4,5,9
17,14,25,2,17,23,5,11,2,19,13,13,5,3,9,0,16,2,11,7,9,25,23,21,10
7,11,6,21,22,9,6,11,7,23,22,25,7,2,18,16,0,22,20,2,8,17,12,20,6
15,2,3,13,13,25,5,15,24,25,15,9,6,21,8,2,22,0,16,10,1,1,22,12,16
17,20,1,7,11,16,23,16,10,24,11,5,4,8,25,11,20,16,0,17,22,19,1,3,12
10,18,8,8,8,24,23,23,6,19,12,24,18,22,1,7,2,10,17,0,9,1,3,19,20
11,8,22,15,8,2,17,12,24,12,16,8,3,18,9,9,8,1,22,9,0,11,19,11,12
11,24,15,1,24,21,6,16,16,4,5,10,18,5,23,25,17,1,19,1,11,0,6,7,19
22,16,12,6,8,14,2,5,8,22,11,18,18,7,4,23,12,22,1,3,19,6,0,15,14
3,9,19,2,3,3,9,9,6,25,5,16,23,15,5,21,20,12,3,19,11,7,15,0,14
10,17,19,2,3,24,6,10,16,15,7,23,4,12,9,10,6,16,12,20,12,19,14,14,0
